,Cast,Date/Duration,Language/Type,Moviename
32,"Dharmajan Bolgatty, Ramya Krishnan, Veena Nair, Salim Kumar, Hareesh Kanaran, Sreenath Bhasi",01 Nov 2019 |  2 hrs 22 mins,"MalayalamThriller, Horror | UA",Akashaganga 2
33,"Adil Ibrahim, Hima Sankar, Manoj Guiness, Akshara Kishor",01 Nov 2019 |  1 hr 54 mins,MalayalamHorror | UA,Bhayam
34,"emma stone, Abigail Breslin, Woody Harrelson, Jesse Eisenberg, Zoey Deutch, Rosario Dawson, Avan Jogia, Dan Aykroyd, Luke Wilson, Thomas Middleditch, Rachel Luttrell, Julia Vasi",18 Oct 2019 |  1 hr 39 mins,"EnglishAction, Comedy, Horror | A",Zombieland: Double Tap
35,"Ashwin Babu, Avika S. Gor, Ali, Urvashi, Ajay Ghosh, Brahmaji, Hari Teja, Dhanraj, Prabhas Sreenu",18 Oct 2019 |  2 hrs 2 mins,"TeluguComedy, Horror | UA",Raju Gari Gadhi 3
36,"Praaveen, Prakruthy",18 Oct 2019 |  1 hr 41 mins,"KannadaHorror, Thriller | A",Murkal Estate
37,"Sanaya Irani, Shivam Bhaargava",18 Oct 2019 |  2 hrs 10 mins,"HindiHorror, Thriller | A",Ghost
38,"Siddharth, Catherine Tresa, Sathyaraj, Kaali Venkat, Kabir Duhan Singh, Aadukalam Naren, Rajendran, Karunakaran",11 Oct 2019 |  2 hrs 10 mins,"TamilHorror, Comedy | UA",Aruvam
39,"Siddharth, Catherine Tresa, Aadukalam Naren, Kabir Duhan Singh, Kaali Venkat, Sathyaraj, Rajendran, Karunakaran",11 Oct 2019 |  2 hrs 10 mins,"TeluguHorror, Comedy | UA",Vadaladu
40,"Tamannaah Bhatia, Yogi Babu, Kaali Venkat, Munishkanth, Sathyan, Vaibhav Reddy",11 Oct 2019 |  2 hrs 8 mins,"TamilComedy, Horror | UA",Petromax
41,"Sreejith Panicker, Suriya Lakshmi, Smitha Sasi, Sunith Sarangi",27 Sep 2019 |  1 hr 42 mins,"MalayalamHorror, Thriller | UA",Ooha
42,"Arbaaz Khan, Aindrita Ray, Govind Namdev, Vikas Verma, Hemant Pandey",27 Sep 2019 |  1 hr 32 mins,"HindiHorror, Thriller | A",Main Zaroor Aaunga
43,"Shiva Chandra Ks, Gandhi Ram, Anju, Pooja Basavaraj",20 Sep 2019 |  2 hrs 10 mins,"KannadaHorror, Thriller | UA",Baro Baro Geleya
44,"Samara Weaving, Adam Brody, Mark O Brien, Henry Czerny, Andie MacDowell, Melanie Scrofano",13 Sep 2019 |  1 hr 36 mins,"EnglishComedy, Horror, Mystery | A",Ready Or Not
45,"Yogi Babu, Yashika Aannand, Gopi Sudhakar, T.M. Karthik Srinivasan",06 Sep 2019 |  2 hrs 8 mins,"TamilHorror, Comedy | UA",Zombie
46,"Tanishq Reddy, Shubanghi Pant, Alexius Macleod",06 Sep 2019 |  1 hr 57 mins,"TeluguHorror, Thriller | UA",Darpanam
47,"Agaran, Ramya Ramakrishnan, Mundasupatti Pasupathi, Kumaran Vadivelu",06 Sep 2019 |  2 hrs 2 mins,"TamilHorror, Drama | UA",Arivaalae Unnai Arivayappa
48,"Bill Skarsgard, Jessica Chastain, James McAvoy, Jay Ryan, Bill Hader, James Ransone, Javier Botet, Jaeden Lieberher, Andy Bean",06 Sep 2019 |  2 hrs 50 mins,"EnglishHorror, Thriller | A",IT: Chapter Two
49,"Nia Long, John Corbett, Sophie Nelisse, Brec Bassinger",30 Aug 2019 |  1 hr 30 mins,"EnglishAdventure, Horror, Thriller | UA",47 Meters Down: Uncaged
